,date,state,total_cases,daily_cases,local_cases,import_cases
415,2020-11-25,Perlis,43,0.0,0,0
416,2020-11-24,Sabah,26619,232.0,232,0
417,2020-11-24,Selangor,12578,1623.0,1623,0
418,2020-11-24,Kuala Lumpur,5146,90.0,90,0
419,2020-11-24,Negeri Sembilan,4058,73.0,73,0
420,2020-11-24,Kedah,2390,14.0,14,0
421,2020-11-24,Pulau Pinang,1795,15.0,15,0
422,2020-11-24,Labuan,1241,1.0,1,0
423,2020-11-24,Sarawak,1056,1.0,1,0
424,2020-11-24,Johor,1119,19.0,19,0
425,2020-11-24,Perak,1297,112.0,112,0
426,2020-11-24,Pahang,395,0.0,0,0
427,2020-11-24,Melaka,384,2.0,2,0
428,2020-11-24,Kelantan,294,6.0,6,0
429,2020-11-24,Terengganu,234,0.0,0,0
430,2020-11-24,Putrajaya,198,0.0,0,0
431,2020-11-24,Perlis,43,0.0,0,0
432,2020-11-23,Sabah,26387,289.0,289,0
433,2020-11-23,Selangor,10955,1203.0,1203,0
434,2020-11-23,Kuala Lumpur,5056,196.0,195,1
435,2020-11-23,Negeri Sembilan,3985,41.0,41,0
436,2020-11-23,Kedah,2376,36.0,36,0
437,2020-11-23,Pulau Pinang,1780,12.0,12,0
438,2020-11-23,Labuan,1240,0.0,0,0
439,2020-11-23,Sarawak,1055,0.0,0,0
440,2020-11-23,Johor,1100,15.0,14,1
441,2020-11-23,Perak,1185,81.0,81,0
442,2020-11-23,Pahang,395,0.0,0,0
443,2020-11-23,Melaka,382,0.0,0,0
444,2020-11-23,Kelantan,288,9.0,9,0
445,2020-11-23,Terengganu,234,0.0,0,0
446,2020-11-23,Putrajaya,198,1.0,1,0
447,2020-11-23,Perlis,43,1.0,1,0
448,2020-11-22,Sabah,26098,311.0,311,0
449,2020-11-22,Selangor,9752,603.0,602,1
450,2020-11-22,Kuala Lumpur,4860,30.0,26,4
451,2020-11-22,Negeri Sembilan,3944,29.0,29,0
452,2020-11-22,Kedah,2340,16.0,16,0
453,2020-11-22,Pulau Pinang,1768,15.0,15,0
454,2020-11-22,Labuan,1240,13.0,13,0
455,2020-11-22,Sarawak,1055,0.0,0,0
456,2020-11-22,Johor,1085,9.0,8,1
457,2020-11-22,Perak,1104,55.0,55,0
458,2020-11-22,Pahang,395,0.0,0,0
459,2020-11-22,Melaka,382,5.0,5,0
460,2020-11-22,Kelantan,279,8.0,8,0
461,2020-11-22,Terengganu,234,0.0,0,0
462,2020-11-22,Putrajaya,197,1.0,1,0
463,2020-11-22,Perlis,42,1.0,1,0
464,2020-11-21,Sabah,25787,346.0,346,0
465,2020-11-21,Selangor,9149,402.0,402,0
466,2020-11-21,Kuala Lumpur,4830,68.0,66,2
467,2020-11-21,Negeri Sembilan,3915,121.0,121,0
468,2020-11-21,Kedah,2324,6.0,6,0
469,2020-11-21,Pulau Pinang,1753,17.0,17,0
470,2020-11-21,Labuan,1227,12.0,12,0
471,2020-11-21,Sarawak,1055,0.0,0,0
472,2020-11-21,Johor,1076,33.0,33,0
473,2020-11-21,Perak,1049,29.0,29,0
474,2020-11-21,Pahang,395,0.0,0,0
475,2020-11-21,Melaka,377,0.0,0,0
476,2020-11-21,Kelantan,271,7.0,7,0
477,2020-11-21,Terengganu,234,0.0,0,0
478,2020-11-21,Putrajaya,196,0.0,0,0
479,2020-11-21,Perlis,41,0.0,0,0
480,2020-11-20,Sabah,25441,512.0,512,0
481,2020-11-20,Selangor,8747,153.0,153,0
482,2020-11-20,Kuala Lumpur,4762,46.0,41,5
483,2020-11-20,Negeri Sembilan,3794,153.0,153,0
484,2020-11-20,Kedah,2318,19.0,19,0
485,2020-11-20,Pulau Pinang,1736,25.0,25,0
486,2020-11-20,Labuan,1215,1.0,1,0
487,2020-11-20,Sarawak,1055,2.0,2,0
488,2020-11-20,Johor,1043,9.0,9,0
489,2020-11-20,Perak,1020,24.0,24,0
490,2020-11-20,Pahang,395,0.0,0,0
491,2020-11-20,Melaka,377,2.0,2,0
492,2020-11-20,Kelantan,264,7.0,7,0
493,2020-11-20,Terengganu,234,4.0,4,0
494,2020-11-20,Putrajaya,196,1.0,1,0
495,2020-11-20,Perlis,41,0.0,0,0
496,2020-11-19,Sabah,24929,660.0,660,0
497,2020-11-19,Selangor,8594,407.0,407,0
498,2020-11-19,Kuala Lumpur,4716,72.0,67,5
499,2020-11-19,Negeri Sembilan,3641,32.0,32,0
500,2020-11-19,Kedah,2299,7.0,7,0
501,2020-11-19,Pulau Pinang,1711,8.0,8,0
502,2020-11-19,Labuan,1214,15.0,15,0
503,2020-11-19,Sarawak,1053,8.0,8,0
504,2020-11-19,Johor,1034,15.0,15,0
505,2020-11-19,Perak,996,48.0,48,0
506,2020-11-19,Pahang,395,0.0,0,0
507,2020-11-19,Melaka,375,1.0,1,0
508,2020-11-19,Kelantan,257,17.0,17,0
509,2020-11-19,Terengganu,230,0.0,0,0
510,2020-11-19,Putrajaya,195,0.0,0,0
511,2020-11-19,Perlis,41,0.0,0,0
512,2020-11-18,Sabah,24269,387.0,387,0
513,2020-11-18,Selangor,8187,141.0,139,2
514,2020-11-18,Kuala Lumpur,4644,31.0,29,2
515,2020-11-18,Negeri Sembilan,3609,31.0,31,0
516,2020-11-18,Kedah,2292,11.0,11,0
517,2020-11-18,Pulau Pinang,1703,16.0,16,0
518,2020-11-18,Labuan,1199,13.0,13,0
519,2020-11-18,Sarawak,1045,3.0,3,0
520,2020-11-18,Johor,1019,3.0,3,0
521,2020-11-18,Perak,948,16.0,16,0
522,2020-11-18,Pahang,395,0.0,0,0
523,2020-11-18,Melaka,374,4.0,4,0
524,2020-11-18,Terengganu,230,0.0,0,0
525,2020-11-18,Kelantan,240,3.0,3,0
526,2020-11-18,Putrajaya,195,1.0,1,0
527,2020-11-18,Perlis,41,0.0,0,0
528,2020-11-17,Sabah,23882,499.0,499,0
529,2020-11-17,Selangor,8046,271.0,259,12
530,2020-11-17,Kuala Lumpur,4613,245.0,238,7
531,2020-11-17,Negeri Sembilan,3578,67.0,67,0
532,2020-11-17,Kedah,2281,8.0,8,0
533,2020-11-17,Pulau Pinang,1687,33.0,33,0
534,2020-11-17,Labuan,1186,1.0,1,0
535,2020-11-17,Sarawak,1042,1.0,1,0
536,2020-11-17,Johor,1016,14.0,14,0
537,2020-11-17,Perak,932,47.0,47,0
538,2020-11-17,Pahang,395,0.0,0,0
539,2020-11-17,Melaka,370,2.0,2,0
540,2020-11-17,Terengganu,230,1.0,1,0
541,2020-11-17,Kelantan,237,19.0,19,0
