times,incidence,incidenceXagegroup_0,incidenceXagegroup_5,incidenceXagegroup_10,incidenceXagegroup_15,incidenceXagegroup_20,incidenceXagegroup_25,incidenceXagegroup_30,incidenceXagegroup_35,incidenceXagegroup_40,incidenceXagegroup_45,incidenceXagegroup_50,incidenceXagegroup_55,incidenceXagegroup_60,incidenceXagegroup_65,incidenceXagegroup_70,incidenceXagegroup_75,infection_deathsXagegroup_0,infection_deathsXagegroup_5,infection_deathsXagegroup_10,infection_deathsXagegroup_15,infection_deathsXagegroup_20,infection_deathsXagegroup_25,infection_deathsXagegroup_30,infection_deathsXagegroup_35,infection_deathsXagegroup_40,infection_deathsXagegroup_45,infection_deathsXagegroup_50,infection_deathsXagegroup_55,infection_deathsXagegroup_60,infection_deathsXagegroup_65,infection_deathsXagegroup_70,infection_deathsXagegroup_75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007742875513711763,0.0007943047560463782,0.0017882061991253593,0.0018194733335750105,0.008285681085086566,0.008802967659628631,0.018029573938144826,0.016525222381501233,0.03619214558312305,0.03615113592252776,0.0008053594671843444,0.0007687668033615689,0.3481891719801216,0.31860180374992336,0.5214532714452912,0.9398936156757375
1.0,73.11380431929386,3.4195696300819565,14.4423161548097,4.798835979902641,6.907776404536536,6.099552138004096,6.390506726726559,6.300323767840624,5.905543587519675,5.906345721232256,5.06190895478943,5.418221641067755,4.425895469716106,2.5988585681304026,2.045618460817628,1.2808893973021924,1.9557588276001971,0.0007528890209719698,0.0007724091507889243,0.0017412072871858734,0.0017725693152137853,0.008088524466502779,0.008593168361129834,0.017591115639790177,0.016123920345932165,0.03534811949882424,0.035299804068388244,0.0007831977806805269,0.0007475737375963639,0.3394732405166746,0.3105916786837889,0.5036293116340427,0.9077068992261369
2.0,190.60049140496784,8.885301245739353,37.56496342266723,12.473240118661188,18.01559859885893,15.956179102162128,16.708632517703244,16.43235457313916,15.397166770178103,15.406988556752514,13.200744248359404,14.120970924610175,11.526941683587244,6.778278248586171,5.337248139667007,3.3449659324289462,5.098829930064484,0.000703140275847864,0.0007219395713689827,0.0016456570277809872,0.001684654875898052,0.007793318678684913,0.008276109919117149,0.016758757678866802,0.015366819851847074,0.033806496841457125,0.033675472716900426,0.0007324215888591068,0.0006987163842072206,0.32629197166032575,0.298166756127167,0.48214794006038375,0.8683488984580818
3.0,288.7329436310969,13.352768006714415,56.592884025526494,18.775900699964076,27.36685277000352,24.40571543609165,25.516625681189254,24.92512515198669,23.327657436795768,23.370915401012862,20.01387991283177,21.377642352619862,17.41530612051462,10.253450806897657,8.072238658885691,5.062500101702227,7.696429541494899,0.0006413126011171517,0.0006600798231735861,0.001554660627907711,0.001618443989685503,0.007759767900850235,0.008230424667930707,0.016094706705740574,0.014774322191190353,0.032687362049749834,0.032317457751130214,0.0006708467866904617,0.000638845245983012,0.31419673027843814,0.28603819172306694,0.4615364132113312,0.8292851904392864
4.0,360.1115846489387,16.418917976314134,69.89675037808664,23.166637429220927,34.33560314376448,30.980147901752204,32.29658650859799,31.160620276477857,29.097744048287463,29.21391686462075,24.99695670563685,26.633046746376976,21.61413006430783,12.734423249046978,10.015516304360741,6.28270157369243,9.515062289079221,0.0005773741558794714,0.0005971337720613992,0.0014952438403203637,0.0016047061691889415,0.008156277924040355,0.008632563661885886,0.015883056956315828,0.014607398971369659,0.032556952997744595,0.03176392465266854,0.000609136889663129,0.0005780235651539973,0.30642222457872315,0.2770008152404375,0.4446319519528801,0.79524796640224
5.0,413.4387888819755,18.466994362688393,79.1240679770728,26.189971894027483,39.78135583872429,36.48005734769401,37.87311963675258,35.89806570813537,33.40800151243582,33.64320177718754,28.755355491268304,30.52974662640198,24.637403744774193,14.514440891818909,11.393243484765986,7.144164726927661,10.76674823247637,0.0005168011223361203,0.0005384564360159213,0.0014749302797070283,0.001650484027944059,0.009007684307285041,0.00950663742181414,0.016195666842148147,0.014928377167357298,0.033550714938541205,0.032164676405611665,0.000552834509761438,0.0005216061471864576,0.30418017025471467,0.2721797117676049,0.4326885991655368,0.7684268508855063
6.0,458.73846939800904,19.972377804442438,86.27114002447557,28.499695361123813,44.65101736974515,41.74622068532385,43.1255766779444,40.000803957314005,37.06510482784509,37.46428656059787,31.981332644173015,33.81234363388876,27.094543428749514,15.946368048931017,12.48132646949082,7.817930261908254,11.715288704693675,0.0004622798802962357,0.00048638624523687356,0.0014910659661234696,0.0017512442310833678,0.010273666521895134,0.010806956772015791,0.016996874029293237,0.01569877241312101,0.035584796047880875,0.03346827368541615,0.0005044159574622557,0.00047208594756131095,0.3075040072257635,0.27171095453102556,0.42597422263861995,0.7494106357003913
7.0,503.23235704876765,21.296299445885744,92.82946137970814,30.57620656979185,49.60383423944457,47.34664356288399,48.65450080393729,44.085100278865426,40.64882943939633,41.25144707257329,35.17049065219837,37.020084668757605,29.434271521713004,17.291700037820988,13.485655858894996,8.432257732005404,12.559929975361186,0.00041483828245180614,0.00044155782533729295,0.001537392791146693,0.0018992010102954027,0.011901948810394804,0.012474521731250082,0.018217449587517004,0.016848817999528146,0.038507722208353884,0.035555974712931,0.00046465748978644696,0.0004303220103198485,0.3159216388629328,0.275283707047245,0.4242742896433676,0.7379795798263443
8.0,551.1849554554852,22.665282575113842,99.716480298019,32.70572841202024,55.012678083039035,53.594701362656096,54.79501745992957,48.51106954214556,44.499713446492095,45.33880714831341,38.61303133810032,40.473575292045766,31.928535864687255,18.709743606956447,14.532413525484438,9.066050088189176,13.42423856902603,0.00037464307870057104,0.00040379885702316736,0.001607700544420796,0.0020876191488074405,0.013854079963258218,0.014464674237057754,0.01979449353221848,0.018315041853977948,0.042182537580615895,0.03831562364813527,0.0004335419813015496,0.0003963741630204689,0.32887564036693406,0.2824852144369023,0.42722988703856307,0.7336453545272583
9.0,605.0063827613603,24.213330396021,107.46637676474612,35.04637866071597,61.0799279000676,60.66232987229408,61.73169098108464,53.48079487222789,48.80849278940575,49.912154571322645,42.47157380485639,44.35519206860637,34.734422806389844,20.292799552756406,15.694885735359602,9.76521328765716,14.380433572845176,0.0003414536396344309,0.000372628763162452,0.0016973942063827682,0.0023123909109899485,0.016113359270156544,0.016755918768698717,0.021687501029102257,0.020055525538732525,0.04652018164667596,0.04167261167166591,0.0004107421394137087,0.0003699601216918313,0.34593684507895434,0.2929795969017546,0.4345236700906077,0.7359516084140107
10.0,666.0381043852415,26.016083320743682,116.3781506828932,37.67993260635123,67.91542537393013,68.64978496433191,69.57100129149957,59.10688214826822,53.680049980403034,55.073490970565615,46.83607413213076,48.76687441561067,37.940243855088184,22.092769856766125,17.014158011076855,10.555449538709201,15.468851507571845,0.000314855536114899,0.0003474904518709539,0.001803621381563834,0.0025717892643253772,0.018680681902545154,0.01934588075719441,0.02387758273525284,0.022049329257987124,0.05147794903545269,0.045590051787755305,0.0003958334289198104,0.0003506711720816439,0.3668497829087859,0.3065525364698483,0.44593791631215907,0.7445732580651366
11.0,735.3769287788225,28.12989345285033,126.67983346000865,40.666062328805715,75.61405323571876,77.6540552149617,78.41312408231998,65.48346741535534,59.199912050655406,60.90739549309592,51.7807768442279,53.79129738297046,41.61561459186804,24.150259632129092,18.52192081449302,11.456421238623282,16.71975351557729,0.00029440196832433095,0.0003278626440464711,0.0019248483109940552,0.0028658475140756635,0.021569942323166853,0.022246242824449293,0.026362552458929746,0.024291532119142617,0.05704884648195353,0.05006091022620587,0.00038841199759651366,0.0003380966772806383,0.3915218212601417,0.3231090272399826,0.46136527000215644,0.7593428221236436
