country,mode,duration,objective,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,deaths,yoll
france,by_age,twelve_months,deaths,0.365223075,0.430803551,0.477043817,0.996678902,0.995811634,0.872839829,0.882366175,0.992834158,0.940405005,0.648674999,0.113162219,0.106372866,0.107698292,0.103943088,0.102538231,0.100794144,27357.94401,873612.2469
france,by_age,twelve_months,yoll,0.320188898,0.227644693,0.41626443,0.990975188,0.99807866,0.872676634,0.975443207,0.954329562,0.907596809,0.66532603,0.100085699,0.100645971,0.102907821,0.102490138,0.100581707,0.100985511,26991.28902,852754.0732
france,by_location,six_months,deaths,0.103389335,0.956567322,0.999517675,,,,,,,,,,,,,,86079.49679,2781561.413
france,by_location,six_months,yoll,0.10000969,0.969247018,0.991290276,,,,,,,,,,,,,,86374.63981,2781321.754
france,by_location,twelve_months,deaths,0.167731814,0.915021318,0.995793585,,,,,,,,,,,,,,80371.75471,2611729.169
france,by_location,twelve_months,yoll,0.133360418,0.945160333,0.991785862,,,,,,,,,,,,,,80011.35863,2604960.304
italy,by_age,six_months,deaths,0.995335514,0.99504185,0.995280889,0.968409689,0.99816094,0.972272136,0.998470033,0.993960088,0.952968533,0.806777355,0.525716241,0.224067629,0.208878231,0.168116589,0.105916544,0.100146717,42002.07908,1687964.933
italy,by_age,six_months,yoll,0.99070011,0.948722195,0.836766649,0.985967042,0.9940365,0.989968705,0.947594353,0.990481429,0.989930225,0.991949974,0.134256588,0.100203433,0.264059335,0.568184747,0.165137092,0.100632192,51983.19232,1371713.695
italy,by_age,twelve_months,deaths,0.794279392,0.853658186,0.988636074,0.999792227,0.996281916,0.993212782,0.965171428,0.999641159,0.997961587,0.443620374,0.602873812,0.21155749,0.118603669,0.12879621,0.111991606,0.101086984,34457.65047,1510987.351
italy,by_age,twelve_months,yoll,0.972542476,0.903622993,0.892761066,0.991638629,0.997314356,0.992268523,0.996662623,0.999096222,0.925259362,0.926843988,0.118286558,0.103560238,0.137712378,0.153213633,0.101032089,0.105737247,34285.30831,1009157.11
italy,by_location,six_months,deaths,0.539577749,0.999963895,0.999941088,,,,,,,,,,,,,,187222.8286,3912226.857
italy,by_location,six_months,yoll,0.539195512,0.99976477,0.99970622,,,,,,,,,,,,,,187285.6393,3912687.763
italy,by_location,twelve_months,deaths,0.60344299,0.811413414,0.998098042,,,,,,,,,,,,,,181285.2711,3718617.724
italy,by_location,twelve_months,yoll,0.629286822,0.745050863,0.989456698,,,,,,,,,,,,,,187091.2231,3776836.558
spain,by_age,six_months,deaths,0.663568187,0.722108927,0.36432052,0.96243487,0.99716855,0.97981199,0.891544085,0.944425538,0.886074151,0.429397008,0.339031203,0.124365231,0.112747245,0.104491708,0.105861648,0.1001028,21991.1725,575972.321
spain,by_age,six_months,yoll,0.62494015,0.767719726,0.658008445,0.975862434,0.973125271,0.978743821,0.95507149,0.932813316,0.790479482,0.631760268,0.104562266,0.102820586,0.111612658,0.108204728,0.110036773,0.101630989,22000.6329,482093.128
spain,by_age,twelve_months,deaths,0.398681494,0.412624034,0.374743375,0.975848143,0.995887314,0.94260276,0.9863906,0.983061956,0.81370629,0.351060785,0.212504438,0.112456468,0.109347985,0.105048074,0.103568698,0.100337762,20275.95186,489409.7163
spain,by_age,twelve_months,yoll,0.770217669,0.294288817,0.783706054,0.995455883,0.928477824,0.991366612,0.989942942,0.868724325,0.714365783,0.638146848,0.101227364,0.100994586,0.103835586,0.102214925,0.102987187,0.100440077,20591.0772,451939.6518
spain,by_location,six_months,deaths,0.110775217,0.688649092,0.966131681,,,,,,,,,,,,,,65329.5808,1332499.402
spain,by_location,six_months,yoll,0.114572276,0.777577303,0.94948585,,,,,,,,,,,,,,65764.15112,1336337.461
spain,by_location,twelve_months,deaths,0.134939873,0.34628585,0.999967705,,,,,,,,,,,,,,64081.86646,1316934.233
spain,by_location,twelve_months,yoll,0.107851848,0.607477169,0.973093272,,,,,,,,,,,,,,64287.67045,1314271.554
sweden,by_age,six_months,deaths,0.557753297,0.655485635,0.427569166,0.918202694,0.968131611,0.964171165,0.972087622,0.993045379,0.708127334,0.591481116,0.316205215,0.119860635,0.101454733,0.102975003,0.101190824,0.100280377,2958.607173,106398.4533
sweden,by_age,six_months,yoll,0.686090953,0.626014318,0.502939418,0.935716936,0.958766133,0.950088115,0.938528438,0.933913237,0.895707574,0.670441411,0.10401011,0.101250571,0.112059069,0.102215663,0.10465837,0.102700969,2944.626749,87034.39233
sweden,by_age,twelve_months,deaths,0.348731248,0.459622114,0.332590595,0.920951379,0.786412689,0.943587967,0.864302425,0.886996225,0.92305947,0.476804293,0.434965858,0.129621511,0.131035062,0.11726961,0.102869935,0.101638894,2872.873047,109707.8584
sweden,by_age,twelve_months,yoll,0.503279794,0.610356557,0.633703999,0.98224376,0.939194907,0.992786089,0.954903717,0.870500277,0.797016716,0.644624116,0.102522448,0.101794832,0.106278278,0.101026029,0.102511443,0.103028083,2779.401333,82415.33948
sweden,by_location,six_months,deaths,0.100051576,0.332146736,0.938805901,,,,,,,,,,,,,,10210.15703,274411.5962
sweden,by_location,six_months,yoll,0.100014121,0.930387118,0.825016443,,,,,,,,,,,,,,10475.40569,269645.2868
sweden,by_location,twelve_months,deaths,0.102647164,0.589848395,0.899203974,,,,,,,,,,,,,,9898.761161,264009.2352
sweden,by_location,twelve_months,yoll,0.111031327,0.747987639,0.86559082,,,,,,,,,,,,,,9918.604235,261135.776
united-kingdom,by_age,six_months,deaths,0.911015869,0.972459508,0.713205511,0.994939987,0.984476349,0.974818531,0.995554705,0.98340656,0.783790796,0.489264514,0.101837257,0.102133537,0.10225941,0.101084757,0.10060739,0.10001031,46725.63354,1716094.284
united-kingdom,by_age,six_months,yoll,0.736920496,0.756651878,0.825704764,0.960009358,0.947415219,0.972826269,0.980763077,0.98509083,0.557695592,0.871382372,0.107133721,0.100830792,0.145214129,0.1316484,0.100889707,0.106285367,51264.32408,1809914.802
united-kingdom,by_age,twelve_months,deaths,0.891669249,0.847148466,0.702753956,0.962906303,0.932601739,0.975525073,0.991799859,0.969727654,0.668136917,0.657291518,0.109454123,0.102376442,0.102495892,0.1020296,0.101174629,0.1007613,45156.9859,1657586.679
united-kingdom,by_age,twelve_months,yoll,0.822802134,0.649443155,0.6413977,0.998963745,0.937961447,0.959873439,0.970101469,0.930348321,0.884510235,0.526443795,0.105856585,0.102190652,0.116282728,0.103479761,0.107352468,0.117968314,47232.0205,1675575.645
united-kingdom,by_location,six_months,deaths,0.100000002,0.950925975,0.950862919,,,,,,,,,,,,,,87164.14955,4214244.6
united-kingdom,by_location,six_months,yoll,0.11025138,0.964583332,0.944563904,,,,,,,,,,,,,,87479.34172,4206389.433
united-kingdom,by_location,twelve_months,deaths,0.105288518,0.777153525,0.979553122,,,,,,,,,,,,,,80844.1181,4067665.769
united-kingdom,by_location,twelve_months,yoll,0.141504799,0.892097595,0.952260601,,,,,,,,,,,,,,82023.22477,4038673.36
