idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,compartment_periods.hospital_late,compartment_periods.icu_late,hospital_props_multiplier,microdistancing.parameters.c,microdistancing.parameters.sigma,infection_fatality_props(0),infection_fatality_props(1),infection_fatality_props(2),infection_fatality_props(3),infection_fatality_props(4),infection_fatality_props(5),infection_fatality_props(6),infection_fatality_props(7),infection_fatality_props(8),loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_yoll,all_vars_to_1_yoll,best_p_immune,all_vars_to_1_p_immune
run_1670,0.0496323537874964,13.981014301234525,0.7964602055180678,3.7835824370700437,2.108167036545133,0.061409241495852335,99.30458534039599,0.7517853801397985,0.245159636368413,5.425794933978581,8.547643334780142,0.8963498523860914,128.0099768923633,0.7762733840414439,1.1628510463228983e-05,2.0399595631549236e-05,8.788876039864136e-05,0.00024401297019106908,0.0005738103961905221,0.0016734739238421774,0.007823421103675014,0.027874772722243903,0.12967867011280165,-91.67530484887939,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_2210,0.05495542532392599,13.036793909685777,0.7847782017793713,3.931150450734188,1.3609018285838927,0.06085813197859679,98.22515096521394,0.7530169835514169,0.2470954967066112,5.610219032142832,8.579443483762883,0.8129188953632539,129.82381375517676,0.7424936157691262,1.2086622369020363e-05,2.240938915338514e-05,8.724127340510495e-05,0.0002462495153327429,0.0005654497717752466,0.001726985664105549,0.007840771653873842,0.02808567848876259,0.12964660684911503,-84.2655875536569,,,,,,,,,,,,,,,,,,,,,,
run_3016,0.04885913726720548,12.489844864844425,0.8021017220179076,3.691767960077537,2.21216169084607,0.06129203382979865,95.43810504929291,0.6887059353532048,0.24719816976085585,5.398007589544591,9.369647501859713,0.6026481259592857,124.87680785843405,0.761732331748507,1.2028464382508593e-05,2.0904644259552633e-05,9.724685861580913e-05,0.00023882828944265928,0.0005925958011032367,0.0017828935713634067,0.007763833379073196,0.028708458780206756,0.13281273736639096,-75.15696080203267,,,,,,,,,,,,,,,,,,,,,,
run_3016,0.04885913726720548,12.489844864844425,0.8021017220179076,3.691767960077537,2.21216169084607,0.06129203382979865,95.43810504929291,0.6887059353532048,0.24719816976085585,5.398007589544591,9.369647501859713,0.6026481259592857,124.87680785843405,0.761732331748507,1.2028464382508593e-05,2.0904644259552633e-05,9.724685861580913e-05,0.00023882828944265928,0.0005925958011032367,0.0017828935713634067,0.007763833379073196,0.028708458780206756,0.13281273736639096,-75.15696080203267,,,,,,,,,,,,,,,,,,,,,,
run_3255,0.05588783748331032,15.930418254134983,0.8258919781322128,3.999210446695375,1.3937571712150167,0.0598421327348308,95.15692598308875,0.6453233674049035,0.24980663442016102,5.050141230659572,8.968609753913391,0.5791090754743496,123.14228555622302,0.7570277597705796,1.186224620878192e-05,2.2043849817023208e-05,9.844894027896466e-05,0.00025053895271779926,0.0006074670467859055,0.0017762099540208323,0.007648241136202315,0.02940668022199666,0.12333629770407421,-67.78575104492076,,,,,,,,,,,,,,,,,,,,,,
