idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,ifr_double_exp_model_params.k,ifr_double_exp_model_params.last_representative_age,notifications_dispersion_param,infection_deathsXall_dispersion_param,loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_p_immune,all_vars_to_1_p_immune
run_415,0.044047240082223944,13.645606268292836,0.9379326686302808,3.6480537662383123,5.4282613709272525,0.07555462726923046,88.41473274779406,0.6346839535958722,0.36642327072343067,7.157107253497531,82.93957263646004,1.1262470962149735,0.8006784431863452,-1758.7135883930694,,,,,,,,,,,,,,,,,,,,
run_642,0.04429571934611989,12.02313860490667,0.8773628505173532,3.810616664898863,5.142884463518614,0.09233071155814447,88.74627884236344,0.7868569788524286,0.3321179681879248,7.405299557382992,83.90505305798789,1.5762883989619159,0.7779690865637735,-1751.377406703929,,,,,,,,,,,,,,,,,,,,
run_642,0.04429571934611989,12.02313860490667,0.8773628505173532,3.810616664898863,5.142884463518614,0.09233071155814447,88.74627884236344,0.7868569788524286,0.3321179681879248,7.405299557382992,83.90505305798789,1.5762883989619159,0.7779690865637735,-1751.377406703929,,,,,,,,,,,,,,,,,,,,
run_1469,0.041031324478753406,12.987933208531379,0.8417952410811147,4.098850088448974,5.8733554394993,0.09201748548789246,86.18230917534869,0.7895349827258836,0.342768940793016,6.907212988254203,83.57467203566324,1.2332880584534947,0.7672866590302027,-1754.687109766028,,,,,,,,,,,,,,,,,,,,
run_1751,0.04044013552467776,14.680418991289342,0.6797850571055136,4.580893339331266,5.737544138765747,0.09898872470934471,81.47560324752232,0.8785884139747507,0.3144078042674926,6.93339101698485,83.07526651824878,2.205359070966367,0.8941538771860718,-1757.3893053393422,,,,,,,,,,,,,,,,,,,,
run_2131,0.04108684480098249,12.90815565540925,0.6516101353175195,3.354015965490969,6.192871334705773,0.08852640142118978,86.41058797275164,0.9328352141378746,0.39027915999643026,7.015965441742029,83.09191020448411,2.214955467009223,0.6327699879201695,-1753.0271406949355,,,,,,,,,,,,,,,,,,,,
run_2347,0.04087021302647578,11.339383696721603,0.5768341160369749,3.463976141224088,5.8581825585735094,0.09426662364828453,87.18676295688637,0.8442704882301734,0.35025746878870845,6.854333734406525,82.75645883862566,1.4592058358376554,0.7616754223710464,-1752.820924418582,,,,,,,,,,,,,,,,,,,,
run_669,0.04194351184832061,13.736953920758477,0.8901285951190091,3.8235974057266446,5.818516132353373,0.0691957040359495,90.97147086032047,0.9673331973012594,0.40477988760028333,7.150017852311029,78.17407391356458,1.2010893204452604,0.7888750479622214,-1750.1513125009308,,,,,,,,,,,,,,,,,,,,
run_988,0.044245482035636205,13.532813630120256,0.9245237692058264,3.778704433380031,5.24750744499079,0.06667101413203372,88.05635495882599,0.9050474519583128,0.3655138129303981,7.205505351747507,79.75490270187088,2.359498413311579,0.6888025519588536,-1751.36891544671,,,,,,,,,,,,,,,,,,,,
run_1324,0.04386241187039097,12.76852768244922,0.7889038788742804,4.056099700654547,5.013606881769624,0.06743798364740827,90.18662514363137,0.8847202731349597,0.295237894127946,7.460547422044538,80.93518292458367,1.8216205319657506,0.6078043747784913,-1750.227958723008,,,,,,,,,,,,,,,,,,,,
run_1549,0.044511380896525114,12.720389621439665,0.7964010720797833,4.044579739026636,4.863971756508434,0.06820371274269556,87.40928064614411,0.8690898818374349,0.30451989800462087,7.533863796306749,80.32317659963566,1.6262421044618334,0.8993191537087448,-1749.5789880068855,,,,,,,,,,,,,,,,,,,,
run_1549,0.044511380896525114,12.720389621439665,0.7964010720797833,4.044579739026636,4.863971756508434,0.06820371274269556,87.40928064614411,0.8690898818374349,0.30451989800462087,7.533863796306749,80.32317659963566,1.6262421044618334,0.8993191537087448,-1749.5789880068855,,,,,,,,,,,,,,,,,,,,
run_2199,0.04425963616482362,13.987333025204487,0.7224755450300578,4.3398370161960225,4.643388821465899,0.07797301970142803,87.37611075634985,0.8362912090477524,0.3022744642805677,7.603660675579815,79.53449841554892,1.8035373245605026,0.7526079528605261,-1752.4251110699934,,,,,,,,,,,,,,,,,,,,
run_514,0.04108892829741515,10.925421757049714,0.7167487961109571,4.53692324848783,5.199034808741135,0.06026308248802387,86.6768936906236,0.8596550818768445,0.28644095661839103,6.905076120906202,78.18040514828758,1.9627490887570065,0.6945561226221976,-1757.9623288063424,,,,,,,,,,,,,,,,,,,,
run_814,0.04228827055886415,12.46270435199568,0.7756526069495421,4.269192251167941,5.234830690181187,0.07980652998969053,87.68534059318318,0.849697054899021,0.2681354277579524,7.014786025260635,78.31654048092511,1.9329660191458946,1.0595801491090189,-1754.1597608680595,,,,,,,,,,,,,,,,,,,,
run_1065,0.04587832894139636,14.82648412246867,0.7374828674846063,3.2591998969643288,4.977401764334948,0.07633566177968225,88.92861604408618,0.9468789171968026,0.27387899097257745,7.115177848708535,79.37349351098929,1.6682284469695965,0.7688490029093666,-1744.650415962277,,,,,,,,,,,,,,,,,,,,
run_1065,0.04587832894139636,14.82648412246867,0.7374828674846063,3.2591998969643288,4.977401764334948,0.07633566177968225,88.92861604408618,0.9468789171968026,0.27387899097257745,7.115177848708535,79.37349351098929,1.6682284469695965,0.7688490029093666,-1744.650415962277,,,,,,,,,,,,,,,,,,,,
run_1801,0.04631939526226281,13.122532694054689,0.7132367949679747,4.252764683171282,4.0678991873656525,0.07066414473277474,88.58962025820202,0.9221048418830349,0.2793740312925296,6.917771141966236,79.6532096941663,1.6146140962928714,0.7709619755782268,-1746.5759646058536,,,,,,,,,,,,,,,,,,,,
run_2188,0.04662601962144465,13.984889610453306,0.6014351414446539,3.928880001609564,4.2578738210435985,0.0682968286305442,86.13528688974625,0.8311083664441321,0.2758121614296488,7.300652732790904,77.9357103574239,2.013613160067196,1.170396566627772,-1753.033034320217,,,,,,,,,,,,,,,,,,,,
run_2478,0.04455479405985475,13.676605168697114,0.5350183889401385,3.9675453690394815,4.61081827290411,0.06542366212018072,87.75309664023692,0.816912274432474,0.2630166514285794,7.112891473094987,78.43524897158183,1.7297463780877045,0.7266989150347448,-1750.057692037041,,,,,,,,,,,,,,,,,,,,
run_709,0.044102142022071335,14.66775208736848,0.7585610181722972,4.271713880392962,4.758957719077202,0.06250037877168203,86.8914598869228,0.9469320050189642,0.2951839612094862,6.854772830235328,82.4490755654485,1.4543936382792853,0.8144108082888605,-1746.9896830283435,,,,,,,,,,,,,,,,,,,,
run_905,0.044114602006243314,13.71247586474383,0.7994911124968173,4.058503361363523,4.9669339029496244,0.0645213507299639,92.78783772782417,0.9563672798299505,0.30111150147271815,7.088265030022674,82.24671693363902,1.4030603509393602,0.842764049134603,-1746.4465077428572,,,,,,,,,,,,,,,,,,,,
run_1264,0.04655827882857445,13.542787184061556,0.7823910590732001,3.7068097774259825,4.604782821657748,0.06539700334267214,95.10366927956767,0.962820241575001,0.30776230868529203,7.69786025666241,82.03482675837435,1.3940252806118005,0.7487579839919885,-1746.331170179515,,,,,,,,,,,,,,,,,,,,
run_1755,0.046259368644377366,14.183843034113035,0.7993629335818977,4.061036029831209,4.507894902011704,0.0678805298908064,90.45002585370075,0.9155324134847758,0.3051958061318274,7.017340007221772,81.50998178246397,1.2258087251634153,0.9223116909542631,-1750.2871140883565,,,,,,,,,,,,,,,,,,,,
run_2072,0.04893464110889604,14.52189338831786,0.8017430488525601,4.023033992374349,3.958384439952227,0.0764766173290861,87.76816434477696,0.7918095431747573,0.30447152000789024,7.044848116489182,79.94731414043804,2.2226219665164906,0.9036875382300666,-1751.3122549014656,,,,,,,,,,,,,,,,,,,,
run_2401,0.04959438964069376,14.288925013706875,0.7056807659129698,4.282185371903066,3.5299376914623077,0.0773512470486356,86.3597738846015,0.8432873944363346,0.3188756220403985,7.256862046186817,79.3336120844571,2.1695869742010214,0.8177624563000074,-1749.491537493075,,,,,,,,,,,,,,,,,,,,
run_675,0.04087705784434635,12.388079153294827,0.5167079611964155,2.8994214708978028,6.114722228221832,0.08741706211588822,86.82853032903444,0.91773004730957,0.16435834256645007,7.241630395877389,80.05492626708754,1.7332752978264012,0.6555831431480967,-1750.2683931152735,,,,,,,,,,,,,,,,,,,,
run_675,0.04087705784434635,12.388079153294827,0.5167079611964155,2.8994214708978028,6.114722228221832,0.08741706211588822,86.82853032903444,0.91773004730957,0.16435834256645007,7.241630395877389,80.05492626708754,1.7332752978264012,0.6555831431480967,-1750.2683931152735,,,,,,,,,,,,,,,,,,,,
run_1390,0.041544320485119315,13.68216387567388,0.44953678735771163,2.8941235325899353,6.088802650661173,0.09477971441135187,89.88676633658181,0.8846944463038924,0.16106905385946854,7.777983853647755,80.88180498011612,1.7308097089852015,0.8523002227841777,-1751.3103913427428,,,,,,,,,,,,,,,,,,,,
run_1435,0.042722391286300655,14.932903610263153,0.44514388660603227,2.979394037429246,5.75670251132192,0.09216008679029873,86.57663047570065,0.851195962596986,0.12353379368450888,7.766548690877523,81.38164107563992,2.3324026066301906,0.880317100474855,-1750.5793630799617,,,,,,,,,,,,,,,,,,,,
run_1979,0.04290834519068174,13.955575779491669,0.40471948127543644,2.894939807134607,5.511474241028922,0.09468380052591317,86.49050033705753,0.8213255230022928,0.16937046275043516,6.801785486053704,80.3387637301958,1.816795205711678,0.8872964909420756,-1748.3898869805041,,,,,,,,,,,,,,,,,,,,
run_2149,0.04398112893005257,13.71265828168034,0.4652246718107742,3.114266976720203,5.185519370950403,0.08905354180589062,85.09792447133658,0.7494170630955667,0.1643589887096779,7.268871413812854,80.68292664269501,1.7216459529684012,1.0161292269592543,-1750.5404872569945,,,,,,,,,,,,,,,,,,,,
run_722,0.03912891961743363,10.638564876193838,0.7060616190346184,3.789631649556671,6.460292025077625,0.0952352994653517,87.63144039272878,0.9268222570379195,0.2649837061216586,7.317744860557079,75.96694908100662,1.4933184218727704,1.0531691801697456,-1756.0018972639539,,,,,,,,,,,,,,,,,,,,
run_1031,0.03863305461503774,11.88523287199313,0.7697277913766549,4.251150360287664,6.501191450013931,0.08594184651352217,85.05763067463701,0.8861542997071543,0.21637078170638238,6.446649259771332,76.45127306153651,1.383440892774265,0.9550789387101595,-1757.7141731376232,,,,,,,,,,,,,,,,,,,,
run_1305,0.04226108305074782,13.88958084544398,0.8269411289246325,2.983165006526188,6.308030889256558,0.08940013683198869,87.59000866314759,0.8743685816432063,0.26007708402335067,7.078567085787485,76.36801228789534,1.7750174639150196,0.8020186517482348,-1749.002313173857,,,,,,,,,,,,,,,,,,,,
run_1657,0.042265877323877085,13.957730991356843,0.8446448108289424,3.4684424972396517,5.941238326293116,0.08615291267298703,88.67856510326014,0.8452332663536131,0.27081181017910505,7.283680164936403,76.45230383358269,1.4357255587383173,0.8060255626172584,-1748.5113841804682,,,,,,,,,,,,,,,,,,,,
run_1962,0.04234495211733579,13.999619635426397,0.8319273212239965,3.9146226770651156,5.668314357177683,0.08734496888244063,87.35072216923533,0.9202743893246321,0.2771331990574829,6.986305644039823,76.44675537231831,1.4022850454377345,0.7790817449592807,-1746.3840987775825,,,,,,,,,,,,,,,,,,,,
