idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,compartment_periods.hospital_late,compartment_periods.icu_late,hospital_props_multiplier,microdistancing.parameters.c,microdistancing.parameters.sigma,infection_fatality_props(0),infection_fatality_props(1),infection_fatality_props(2),infection_fatality_props(3),infection_fatality_props(4),infection_fatality_props(5),infection_fatality_props(6),infection_fatality_props(7),infection_fatality_props(8),loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_yoll,all_vars_to_1_yoll,best_p_immune,all_vars_to_1_p_immune
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_1977,0.058227971,34.46912495,0.819533599,2.389577912,2.484415195,0.0748056,99.46014671,0.15529311,0.235834107,5.76893182,7.891348844,0.629523031,112.8111457,0.61787853,1.31E-05,1.95E-05,0.000112138,0.000268485,0.000498734,0.001615083,0.009075682,0.024337107,0.061321159,-29.21623304,,,,,,,,,,,,,,,,,,,,,,
run_2925,0.054145339,33.77782303,0.855501386,2.112667589,3.176120984,0.07363934,99.66990425,0.197188896,0.242557281,6.791611405,9.234377424,0.619273199,106.8737305,0.63903383,1.23E-05,1.89E-05,0.000117938,0.000276632,0.000524559,0.001591002,0.008910485,0.024246782,0.058877468,-29.16679214,,,,,,,,,,,,,,,,,,,,,,
run_2925,0.054145339,33.77782303,0.855501386,2.112667589,3.176120984,0.07363934,99.66990425,0.197188896,0.242557281,6.791611405,9.234377424,0.619273199,106.8737305,0.63903383,1.23E-05,1.89E-05,0.000117938,0.000276632,0.000524559,0.001591002,0.008910485,0.024246782,0.058877468,-29.16679214,,,,,,,,,,,,,,,,,,,,,,
run_546,0.044073736,13.37244893,0.93006038,4.204836688,1.953335891,0.066304433,90.71815251,0.336842872,0.098519093,10.94218558,5.229386317,0.759360867,138.1267368,0.651223369,1.87E-05,2.53E-05,9.57E-05,0.000258977,0.000524481,0.001615742,0.006108937,0.022357862,0.146060796,-78.99342705,,,,,,,,,,,,,,,,,,,,,,
run_546,0.044073736,13.37244893,0.93006038,4.204836688,1.953335891,0.066304433,90.71815251,0.336842872,0.098519093,10.94218558,5.229386317,0.759360867,138.1267368,0.651223369,1.87E-05,2.53E-05,9.57E-05,0.000258977,0.000524481,0.001615742,0.006108937,0.022357862,0.146060796,-78.99342705,,,,,,,,,,,,,,,,,,,,,,
run_681,0.041512407,9.813274023,0.936525954,4.869984268,2.066629544,0.061047866,85.93551735,0.190661701,0.102060832,10.67112279,4.841873304,0.694321629,134.5917834,0.607444238,1.87E-05,2.47E-05,9.52E-05,0.00024937,0.000492355,0.001690798,0.005966547,0.023682582,0.142876492,-61.69440915,,,,,,,,,,,,,,,,,,,,,,
run_681,0.041512407,9.813274023,0.936525954,4.869984268,2.066629544,0.061047866,85.93551735,0.190661701,0.102060832,10.67112279,4.841873304,0.694321629,134.5917834,0.607444238,1.87E-05,2.47E-05,9.52E-05,0.00024937,0.000492355,0.001690798,0.005966547,0.023682582,0.142876492,-61.69440915,,,,,,,,,,,,,,,,,,,,,,
run_681,0.041512407,9.813274023,0.936525954,4.869984268,2.066629544,0.061047866,85.93551735,0.190661701,0.102060832,10.67112279,4.841873304,0.694321629,134.5917834,0.607444238,1.87E-05,2.47E-05,9.52E-05,0.00024937,0.000492355,0.001690798,0.005966547,0.023682582,0.142876492,-61.69440915,,,,,,,,,,,,,,,,,,,,,,
run_1248,0.04208321,2.88857951,0.868171368,4.887741755,1.545164858,0.05717107,89.36561614,0.26115221,0.117222531,10.22247888,4.568574354,0.628330385,130.7158922,0.632189802,1.76E-05,2.08E-05,9.45E-05,0.000253786,0.000502317,0.00171244,0.006073264,0.022513063,0.131445349,-44.41011035,,,,,,,,,,,,,,,,,,,,,,
run_1248,0.04208321,2.88857951,0.868171368,4.887741755,1.545164858,0.05717107,89.36561614,0.26115221,0.117222531,10.22247888,4.568574354,0.628330385,130.7158922,0.632189802,1.76E-05,2.08E-05,9.45E-05,0.000253786,0.000502317,0.00171244,0.006073264,0.022513063,0.131445349,-44.41011035,,,,,,,,,,,,,,,,,,,,,,
