idx,contact_rate,start_time,npi_effectiveness.other_locations,compartment_periods_calculated.incubation.total_period,compartment_periods_calculated.total_infectious.total_period,tv_detection_b,tv_detection_c,prop_detected_among_symptomatic,icu_prop,compartment_periods.hospital_late,compartment_periods.icu_late,hospital_props_multiplier,microdistancing.parameters.c,microdistancing.parameters.sigma,infection_fatality_props(0),infection_fatality_props(1),infection_fatality_props(2),infection_fatality_props(3),infection_fatality_props(4),infection_fatality_props(5),infection_fatality_props(6),infection_fatality_props(7),infection_fatality_props(8),notifications_dispersion_param,infection_deathsXall_dispersion_param,loglikelihood,best_x0,best_x1,best_x2,best_x3,best_x4,best_x5,best_x6,best_x7,best_x8,best_x9,best_x10,best_x11,best_x12,best_x13,best_x14,best_x15,best_deaths,all_vars_to_1_deaths,best_yoll,all_vars_to_1_yoll,best_p_immune,all_vars_to_1_p_immune
run_1493,0.047965030268299395,6.632258959917312,0.7707301015391168,3.255818745844962,5.368077824826916,0.05414532096646919,108.21521409052878,0.18900066426378226,0.26054745842113675,7.76918666285824,9.857564529419966,0.5458564173485977,136.10976511044367,0.616724092125408,7.3681761957194395e-06,2.62621476608343e-05,0.0001065116762506189,0.00028799690012892235,0.0006108949748694833,0.0016875912646482957,0.00774761355639867,0.024662432232924365,0.10547091552762246,674.971776653617,112.05300520810238,-22.348217807412016,,,,,,,,,,,,,,,,,,,,,,
run_1576,0.04797547423772013,3.076544254527441,0.8240181251131434,3.989433346655931,5.110857505583122,0.05078421669622088,105.73794884576989,0.10683075961934829,0.2449109695136361,8.083701119299375,9.852996201751893,0.6053399870287086,134.41901509697857,0.6786329093777572,8.490734566966693e-06,2.5768034843277824e-05,0.00010578337134987326,0.0002796134381574054,0.0005835789429998857,0.0016785779006874692,0.00746937423162741,0.026072247248600217,0.0913588965845221,652.834794526177,110.25939434950953,-23.926820109001213,,,,,,,,,,,,,,,,,,,,,,
run_1639,0.04744181637346785,5.968952325276657,0.7693754298002958,3.505117885348015,5.533658534489216,0.05091961121795765,107.41324316331523,0.10954880925082755,0.23731959653000334,6.904235476896914,10.099111756279624,0.6513294694963303,131.9914921634921,0.6382249857155425,6.366161559259273e-06,2.545968210909767e-05,0.00010375653120219157,0.0002728020843478624,0.0006154651472959885,0.0016721978766640725,0.0070543253511490475,0.026168142251225112,0.08594293931023396,615.5411036191299,104.91421386708238,-22.88276190535623,,,,,,,,,,,,,,,,,,,,,,
run_1731,0.04828100531559781,6.2941846547439795,0.7481310112595039,3.1692362866304746,5.44373485163063,0.05753613781302147,107.18689881021481,0.14711577260799294,0.23894087457816246,6.748712649353676,11.026520630539212,0.5275707246214768,128.0964565256799,0.7155708834289255,4.659034970194616e-06,2.44957816431756e-05,0.00010511461366363524,0.00027884967678107114,0.0006434407736555074,0.0016485508707550125,0.007230506731412213,0.02835365730739779,0.08204120425841062,611.7706639632182,102.65324240059583,-19.682845470765344,,,,,,,,,,,,,,,,,,,,,,
run_1847,0.048058886820395115,7.026231568528994,0.7354816252477414,3.4307990537624584,5.40963680825305,0.05570835645431094,104.52402335725282,0.11679437513862287,0.2682102085018593,6.056692259688657,11.451565667080038,0.5407442926270665,129.5839260611467,0.7067840660042299,6.217506194787475e-06,2.519761521225209e-05,0.00010369185754365162,0.000278970336484232,0.000638373062540034,0.0016528263199539553,0.0071824521129574236,0.02583294124187279,0.07659584591339241,658.2239459675253,108.78508628965564,-19.032971321695015,,,,,,,,,,,,,,,,,,,,,,
run_1945,0.04855323635724511,6.823439445118849,0.7728582642089772,3.316924088065491,5.374366943191512,0.050842329192877726,103.60415840852498,0.13331805936600755,0.2860381979455636,6.0778862687551545,10.912259663265337,0.5720124046787087,123.79042029975125,0.712450656142401,6.921589928985547e-06,2.5296587954935555e-05,0.00010131357061089952,0.0002763269160085093,0.0006461763500682946,0.0016754822158278077,0.007419474683178687,0.027128202293284026,0.08525221370735177,637.7437907414571,105.12967584077515,-18.820385243659228,,,,,,,,,,,,,,,,,,,,,,
run_2031,0.048942869971139336,6.698980408392927,0.7847211956504876,3.6724984605838245,5.213058957923574,0.05566018117034437,100.83437053295873,0.12572047344002016,0.2881069306098654,6.169642087593295,10.380106815178065,0.5681108812106024,121.72048290337258,0.7128476119401123,7.037860784541009e-06,2.5234708680155296e-05,0.00010070156459689288,0.0002902485990179437,0.0006349310074709516,0.0016833630208413126,0.007609030117758403,0.028242525432483383,0.08732071928842049,655.0172388924667,109.42028440285223,-18.022248180862675,,,,,,,,,,,,,,,,,,,,,,
run_2113,0.0478551900962811,5.115309553426909,0.8214456115698883,3.968540115846944,5.056225523595137,0.05466814640275848,98.62798021570973,0.16292260723560756,0.2996598863558653,5.869335256349903,10.59553826102335,0.5208470682931698,121.77845300478432,0.7281434794931134,7.3139697117608165e-06,2.4246917872691205e-05,9.891952376011795e-05,0.00028682992731752285,0.0006182371908532895,0.001653691472721627,0.007674839538872295,0.028890802047083677,0.09845868799561544,681.1605379721601,109.93788328688231,-17.696919080204268,,,,,,,,,,,,,,,,,,,,,,
run_2113,0.0478551900962811,5.115309553426909,0.8214456115698883,3.968540115846944,5.056225523595137,0.05466814640275848,98.62798021570973,0.16292260723560756,0.2996598863558653,5.869335256349903,10.59553826102335,0.5208470682931698,121.77845300478432,0.7281434794931134,7.3139697117608165e-06,2.4246917872691205e-05,9.891952376011795e-05,0.00028682992731752285,0.0006182371908532895,0.001653691472721627,0.007674839538872295,0.028890802047083677,0.09845868799561544,681.1605379721601,109.93788328688231,-17.696919080204268,,,,,,,,,,,,,,,,,,,,,,
run_2113,0.0478551900962811,5.115309553426909,0.8214456115698883,3.968540115846944,5.056225523595137,0.05466814640275848,98.62798021570973,0.16292260723560756,0.2996598863558653,5.869335256349903,10.59553826102335,0.5208470682931698,121.77845300478432,0.7281434794931134,7.3139697117608165e-06,2.4246917872691205e-05,9.891952376011795e-05,0.00028682992731752285,0.0006182371908532895,0.001653691472721627,0.007674839538872295,0.028890802047083677,0.09845868799561544,681.1605379721601,109.93788328688231,-17.696919080204268,,,,,,,,,,,,,,,,,,,,,,
