lga_id,lga_name,cluster_id,cluster_name,proportion
21610,Casey (C),3,South Metro,0.1022
21610,Casey (C),4,West Metro,0.0312
21610,Casey (C),5,Barwon South West,0.0004
21610,Casey (C),6,Gippsland,0.0042
21610,Casey (C),7,Grampians,0.0004
21610,Casey (C),8,Hume,0.0005
21610,Casey (C),9,Loddon Mallee,0.0003
21670,Central Goldfields (S),1,North Metro,0.0153
21670,Central Goldfields (S),2,South & East Metro,0.0053
21670,Central Goldfields (S),3,South Metro,0.0102
21670,Central Goldfields (S),4,West Metro,0.0343
21670,Central Goldfields (S),5,Barwon South West,0.0175
21670,Central Goldfields (S),6,Gippsland,0.001
21670,Central Goldfields (S),7,Grampians,0.8173
21670,Central Goldfields (S),8,Hume,0.0007
21670,Central Goldfields (S),9,Loddon Mallee,0.0983
21750,Colac-Otway (S),1,North Metro,0.0073
21750,Colac-Otway (S),2,South & East Metro,0.0032
21750,Colac-Otway (S),3,South Metro,0.0126
21750,Colac-Otway (S),4,West Metro,0.0342
21750,Colac-Otway (S),5,Barwon South West,0.936
21750,Colac-Otway (S),7,Grampians,0.0048
21750,Colac-Otway (S),8,Hume,0.0007
21750,Colac-Otway (S),9,Loddon Mallee,0.0012
21830,Corangamite (S),1,North Metro,0.0199
21830,Corangamite (S),2,South & East Metro,0.0034
21830,Corangamite (S),3,South Metro,0.0106
21830,Corangamite (S),4,West Metro,0.0611
21830,Corangamite (S),5,Barwon South West,0.8534
21830,Corangamite (S),6,Gippsland,0.0005
21830,Corangamite (S),7,Grampians,0.0493
21830,Corangamite (S),8,Hume,0.0005
21830,Corangamite (S),9,Loddon Mallee,0.0012
21890,Darebin (C),1,North Metro,0.8269
21890,Darebin (C),2,South & East Metro,0.0134
21890,Darebin (C),3,South Metro,0.0171
21890,Darebin (C),4,West Metro,0.1393
21890,Darebin (C),5,Barwon South West,0.0009
21890,Darebin (C),6,Gippsland,0.0006
21890,Darebin (C),7,Grampians,0.0004
21890,Darebin (C),8,Hume,0.0008
21890,Darebin (C),9,Loddon Mallee,0.0006
22110,East Gippsland (S),1,North Metro,0.0282
22110,East Gippsland (S),2,South & East Metro,0.0454
22110,East Gippsland (S),3,South Metro,0.0373
22110,East Gippsland (S),4,West Metro,0.0368
22110,East Gippsland (S),5,Barwon South West,0.0009
22110,East Gippsland (S),6,Gippsland,0.8492
22110,East Gippsland (S),7,Grampians,0.0005
22110,East Gippsland (S),8,Hume,0.0012
22110,East Gippsland (S),9,Loddon Mallee,0.0005
22170,Frankston (C),1,North Metro,0.0152
22170,Frankston (C),2,South & East Metro,0.1428
22170,Frankston (C),3,South Metro,0.8071
22170,Frankston (C),4,West Metro,0.0297
22170,Frankston (C),5,Barwon South West,0.0007
22170,Frankston (C),6,Gippsland,0.0025
22170,Frankston (C),7,Grampians,0.0002
22170,Frankston (C),8,Hume,0.0013
22170,Frankston (C),9,Loddon Mallee,0.0005
22250,Gannawarra (S),1,North Metro,0.04
22250,Gannawarra (S),2,South & East Metro,0.006
22250,Gannawarra (S),3,South Metro,0.0237
22250,Gannawarra (S),4,West Metro,0.0393
22250,Gannawarra (S),5,Barwon South West,0.0017
22250,Gannawarra (S),6,Gippsland,0.0007
22250,Gannawarra (S),7,Grampians,0.0012
22250,Gannawarra (S),8,Hume,0.0041
22250,Gannawarra (S),9,Loddon Mallee,0.8833
22310,Glen Eira (C),1,North Metro,0.0341
22310,Glen Eira (C),2,South & East Metro,0.3796
22310,Glen Eira (C),3,South Metro,0.4963
22310,Glen Eira (C),4,West Metro,0.0868
22310,Glen Eira (C),5,Barwon South West,0.0008
22310,Glen Eira (C),6,Gippsland,0.0005
22310,Glen Eira (C),7,Grampians,0.0011
22310,Glen Eira (C),8,Hume,0.0003
22310,Glen Eira (C),9,Loddon Mallee,0.0005
22410,Glenelg (S),1,North Metro,0.0166
22410,Glenelg (S),2,South & East Metro,0.0023
22410,Glenelg (S),3,South Metro,0.0074
22410,Glenelg (S),4,West Metro,0.0325
22410,Glenelg (S),5,Barwon South West,0.932
22410,Glenelg (S),6,Gippsland,0.0004
22410,Glenelg (S),7,Grampians,0.0074
22410,Glenelg (S),8,Hume,0.0005
