lga_id,lga_name,cluster_id,cluster_name,proportion
26430,Strathbogie (S),4,West Metro,0.1034
26430,Strathbogie (S),5,Barwon South West,0.0024
26430,Strathbogie (S),6,Gippsland,0.0009
26430,Strathbogie (S),7,Grampians,0.0012
26430,Strathbogie (S),8,Hume,0.7244
26430,Strathbogie (S),9,Loddon Mallee,0.017
26490,Surf Coast (S),1,North Metro,0.0192
26490,Surf Coast (S),2,South & East Metro,0.0055
26490,Surf Coast (S),3,South Metro,0.0214
26490,Surf Coast (S),4,West Metro,0.0983
26490,Surf Coast (S),5,Barwon South West,0.8469
26490,Surf Coast (S),6,Gippsland,0.0009
26490,Surf Coast (S),7,Grampians,0.0031
26490,Surf Coast (S),8,Hume,0.0021
26490,Surf Coast (S),9,Loddon Mallee,0.0025
26610,Swan Hill (RC),1,North Metro,0.0419
26610,Swan Hill (RC),2,South & East Metro,0.0074
26610,Swan Hill (RC),3,South Metro,0.0101
26610,Swan Hill (RC),4,West Metro,0.0538
26610,Swan Hill (RC),5,Barwon South West,0.0011
26610,Swan Hill (RC),6,Gippsland,0.0001
26610,Swan Hill (RC),7,Grampians,0.0028
26610,Swan Hill (RC),8,Hume,0.0012
26610,Swan Hill (RC),9,Loddon Mallee,0.8815
26670,Towong (S),1,North Metro,0.0356
26670,Towong (S),2,South & East Metro,0.0116
26670,Towong (S),3,South Metro,0.008
26670,Towong (S),4,West Metro,0.0523
26670,Towong (S),5,Barwon South West,0.0007
26670,Towong (S),6,Gippsland,0.0007
26670,Towong (S),8,Hume,0.8911
26700,Wangaratta (RC),1,North Metro,0.017
26700,Wangaratta (RC),2,South & East Metro,0.0062
26700,Wangaratta (RC),3,South Metro,0.0103
26700,Wangaratta (RC),4,West Metro,0.0587
26700,Wangaratta (RC),5,Barwon South West,0.0003
26700,Wangaratta (RC),6,Gippsland,0.0008
26700,Wangaratta (RC),7,Grampians,0.0005
26700,Wangaratta (RC),8,Hume,0.9049
26700,Wangaratta (RC),9,Loddon Mallee,0.0013
26730,Warrnambool (C),1,North Metro,0.0203
26730,Warrnambool (C),2,South & East Metro,0.0043
26730,Warrnambool (C),3,South Metro,0.0095
26730,Warrnambool (C),4,West Metro,0.0294
26730,Warrnambool (C),5,Barwon South West,0.9313
26730,Warrnambool (C),6,Gippsland,0.0004
26730,Warrnambool (C),7,Grampians,0.004
26730,Warrnambool (C),8,Hume,0.0002
26730,Warrnambool (C),9,Loddon Mallee,0.0005
26810,Wellington (S),1,North Metro,0.0397
26810,Wellington (S),2,South & East Metro,0.0527
26810,Wellington (S),3,South Metro,0.0244
26810,Wellington (S),4,West Metro,0.0314
26810,Wellington (S),5,Barwon South West,0.0024
26810,Wellington (S),6,Gippsland,0.8476
26810,Wellington (S),7,Grampians,0.0005
26810,Wellington (S),8,Hume,0.0006
26810,Wellington (S),9,Loddon Mallee,0.0008
26890,West Wimmera (S),1,North Metro,0.0142
26890,West Wimmera (S),2,South & East Metro,0.0007
26890,West Wimmera (S),3,South Metro,0.0121
26890,West Wimmera (S),4,West Metro,0.0376
26890,West Wimmera (S),5,Barwon South West,0.125
26890,West Wimmera (S),7,Grampians,0.8075
26890,West Wimmera (S),9,Loddon Mallee,0.0028
26980,Whitehorse (C),1,North Metro,0.0917
26980,Whitehorse (C),2,South & East Metro,0.817
26980,Whitehorse (C),3,South Metro,0.0289
26980,Whitehorse (C),4,West Metro,0.0594
26980,Whitehorse (C),5,Barwon South West,0.001
26980,Whitehorse (C),6,Gippsland,0.0011
26980,Whitehorse (C),7,Grampians,0.0004
26980,Whitehorse (C),8,Hume,0.0003
26980,Whitehorse (C),9,Loddon Mallee,0.0001
27070,Whittlesea (C),1,North Metro,0.8817
27070,Whittlesea (C),2,South & East Metro,0.0097
27070,Whittlesea (C),3,South Metro,0.0107
27070,Whittlesea (C),4,West Metro,0.0903
27070,Whittlesea (C),5,Barwon South West,0.0009
27070,Whittlesea (C),6,Gippsland,0.0005
27070,Whittlesea (C),7,Grampians,0.0005
27070,Whittlesea (C),8,Hume,0.0052
27070,Whittlesea (C),9,Loddon Mallee,0.0006
27170,Wodonga (RC),1,North Metro,0.0374
27170,Wodonga (RC),2,South & East Metro,0.009
27170,Wodonga (RC),3,South Metro,0.0161
27170,Wodonga (RC),4,West Metro,0.061
27170,Wodonga (RC),5,Barwon South West,0.0004
27170,Wodonga (RC),6,Gippsland,0.0005
27170,Wodonga (RC),7,Grampians,0.0004
27170,Wodonga (RC),8,Hume,0.8737
27170,Wodonga (RC),9,Loddon Mallee,0.0015
27260,Wyndham (C),1,North Metro,0.0835
27260,Wyndham (C),2,South & East Metro,0.0065
27260,Wyndham (C),3,South Metro,0.0216
27260,Wyndham (C),4,West Metro,0.8703
27260,Wyndham (C),5,Barwon South West,0.0158
27260,Wyndham (C),6,Gippsland,0.0003
27260,Wyndham (C),7,Grampians,0.001
27260,Wyndham (C),8,Hume,0.0005
27260,Wyndham (C),9,Loddon Mallee,0.0005
27350,Yarra (C),1,North Metro,0.5838
27350,Yarra (C),2,South & East Metro,0.0222
27350,Yarra (C),3,South Metro,0.087
27350,Yarra (C),4,West Metro,0.3022
27350,Yarra (C),5,Barwon South West,0.0016
27350,Yarra (C),6,Gippsland,0.0008
27350,Yarra (C),7,Grampians,0.0007
27350,Yarra (C),8,Hume,0.0011
27350,Yarra (C),9,Loddon Mallee,0.0006
27450,Yarra Ranges (S),1,North Metro,0.0579
27450,Yarra Ranges (S),2,South & East Metro,0.8637
27450,Yarra Ranges (S),3,South Metro,0.0207
27450,Yarra Ranges (S),4,West Metro,0.051
27450,Yarra Ranges (S),5,Barwon South West,0.001
27450,Yarra Ranges (S),6,Gippsland,0.0024
27450,Yarra Ranges (S),7,Grampians,0.0003
27450,Yarra Ranges (S),8,Hume,0.0021
27450,Yarra Ranges (S),9,Loddon Mallee,0.0009
27630,Yarriambiack (S),1,North Metro,0.0158
27630,Yarriambiack (S),2,South & East Metro,0.0036
27630,Yarriambiack (S),3,South Metro,0.0184
27630,Yarriambiack (S),4,West Metro,0.0509
27630,Yarriambiack (S),5,Barwon South West,0.0177
27630,Yarriambiack (S),6,Gippsland,0.0003
27630,Yarriambiack (S),7,Grampians,0.8509
27630,Yarriambiack (S),8,Hume,0.0013
27630,Yarriambiack (S),9,Loddon Mallee,0.0411
