,date,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent
187,2020-02-17,Queensland,QLD,0,0,0,0,0,0,0,0
188,2020-02-17,South Australia,SA,0,0,0,0,0,0,0,0
189,2020-02-17,Tasmania,TAS,0,0,0,0,0,0,0,0
190,2020-02-17,Victoria,VIC,0,0,0,0,0,0,0,0
191,2020-02-17,Western Australia,WA,0,0,0,0,0,0,0,0
192,2020-02-18,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
193,2020-02-18,New South Wales,NSW,0,0,0,0,0,0,0,0
194,2020-02-18,Northern Territory,NT,0,0,0,0,0,0,0,0
195,2020-02-18,Queensland,QLD,0,0,0,0,0,0,0,0
196,2020-02-18,South Australia,SA,0,0,0,0,0,0,0,0
197,2020-02-18,Tasmania,TAS,0,0,0,0,0,0,0,0
198,2020-02-18,Victoria,VIC,0,0,0,0,0,0,0,0
199,2020-02-18,Western Australia,WA,0,0,0,0,0,0,0,0
200,2020-02-19,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
201,2020-02-19,New South Wales,NSW,0,0,0,0,0,0,0,0
202,2020-02-19,Northern Territory,NT,0,0,0,0,0,0,0,0
203,2020-02-19,Queensland,QLD,0,0,0,0,0,0,0,0
204,2020-02-19,South Australia,SA,0,0,0,0,0,0,0,0
205,2020-02-19,Tasmania,TAS,0,0,0,0,0,0,0,0
206,2020-02-19,Victoria,VIC,0,0,0,0,0,0,0,0
207,2020-02-19,Western Australia,WA,0,0,0,0,0,0,0,0
208,2020-02-20,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
209,2020-02-20,New South Wales,NSW,0,0,0,0,0,0,0,0
210,2020-02-20,Northern Territory,NT,0,0,0,0,0,0,0,0
211,2020-02-20,Queensland,QLD,0,0,0,0,0,0,0,0
212,2020-02-20,South Australia,SA,0,0,0,0,0,0,0,0
213,2020-02-20,Tasmania,TAS,0,0,0,0,0,0,0,0
214,2020-02-20,Victoria,VIC,0,0,0,0,0,0,0,0
215,2020-02-20,Western Australia,WA,0,0,0,0,0,0,0,0
216,2020-02-21,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
217,2020-02-21,New South Wales,NSW,0,0,0,0,0,0,0,0
218,2020-02-21,Northern Territory,NT,0,0,0,0,0,0,0,0
219,2020-02-21,Queensland,QLD,2,0,0,0,0,0,0,0
220,2020-02-21,South Australia,SA,1,0,0,0,0,0,0,0
221,2020-02-21,Tasmania,TAS,0,0,0,0,0,0,0,0
222,2020-02-21,Victoria,VIC,0,0,0,0,0,0,0,0
223,2020-02-21,Western Australia,WA,1,0,0,0,0,0,0,0
224,2020-02-22,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
225,2020-02-22,New South Wales,NSW,0,0,0,0,0,0,0,0
226,2020-02-22,Northern Territory,NT,0,0,0,0,0,0,0,0
227,2020-02-22,Queensland,QLD,1,0,0,0,0,0,0,0
228,2020-02-22,South Australia,SA,0,0,0,0,0,0,0,0
229,2020-02-22,Tasmania,TAS,0,0,0,0,0,0,0,0
230,2020-02-22,Victoria,VIC,0,0,0,0,0,0,0,0
231,2020-02-22,Western Australia,WA,0,0,0,0,0,0,0,0
232,2020-02-23,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
233,2020-02-23,New South Wales,NSW,0,0,0,0,0,0,0,0
234,2020-02-23,Northern Territory,NT,0,0,0,0,0,0,0,0
235,2020-02-23,Queensland,QLD,0,0,0,0,0,0,0,0
236,2020-02-23,South Australia,SA,0,0,0,0,0,0,0,0
237,2020-02-23,Tasmania,TAS,0,0,0,0,0,0,0,0
238,2020-02-23,Victoria,VIC,0,0,0,0,0,0,0,0
239,2020-02-23,Western Australia,WA,0,0,0,0,0,0,0,0
240,2020-02-24,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
241,2020-02-24,New South Wales,NSW,0,0,0,0,0,0,0,0
242,2020-02-24,Northern Territory,NT,0,0,0,0,0,0,0,0
243,2020-02-24,Queensland,QLD,0,0,0,0,0,0,0,0
244,2020-02-24,South Australia,SA,0,0,0,0,0,0,0,0
245,2020-02-24,Tasmania,TAS,0,0,0,0,0,0,0,0
246,2020-02-24,Victoria,VIC,0,0,0,0,0,0,0,0
247,2020-02-24,Western Australia,WA,0,0,0,0,0,0,0,0
248,2020-02-25,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
249,2020-02-25,New South Wales,NSW,0,0,0,0,0,0,0,0
250,2020-02-25,Northern Territory,NT,0,0,0,0,0,0,0,0
251,2020-02-25,Queensland,QLD,0,0,0,0,0,0,0,0
252,2020-02-25,South Australia,SA,0,0,0,0,0,0,0,0
253,2020-02-25,Tasmania,TAS,0,0,0,0,0,0,0,0
254,2020-02-25,Victoria,VIC,0,0,0,0,0,0,0,0
255,2020-02-25,Western Australia,WA,0,0,0,0,0,0,0,0
256,2020-02-26,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
257,2020-02-26,New South Wales,NSW,0,0,0,0,0,0,0,0
258,2020-02-26,Northern Territory,NT,0,0,0,0,0,0,0,0
259,2020-02-26,Queensland,QLD,0,0,0,0,0,0,0,0
260,2020-02-26,South Australia,SA,0,0,0,0,0,0,0,0
261,2020-02-26,Tasmania,TAS,0,0,0,0,0,0,0,0
262,2020-02-26,Victoria,VIC,0,0,0,0,0,0,0,0
263,2020-02-26,Western Australia,WA,0,0,0,0,0,0,0,0
264,2020-02-27,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
265,2020-02-27,New South Wales,NSW,0,0,0,0,0,0,0,0
266,2020-02-27,Northern Territory,NT,0,0,0,0,0,0,0,0
267,2020-02-27,Queensland,QLD,0,0,0,0,0,0,0,0
268,2020-02-27,South Australia,SA,0,0,0,0,0,0,0,0
269,2020-02-27,Tasmania,TAS,0,0,0,0,0,0,0,0
270,2020-02-27,Victoria,VIC,3,0,0,0,0,0,0,0
271,2020-02-27,Western Australia,WA,0,0,0,0,0,0,0,0
272,2020-02-28,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
273,2020-02-28,New South Wales,NSW,0,0,0,0,0,0,0,0
274,2020-02-28,Northern Territory,NT,0,0,0,0,0,0,0,0
275,2020-02-28,Queensland,QLD,1,0,0,0,0,0,0,0
276,2020-02-28,South Australia,SA,0,0,0,0,0,0,0,0
277,2020-02-28,Tasmania,TAS,0,0,0,0,0,0,0,0
278,2020-02-28,Victoria,VIC,0,0,0,0,0,0,0,0
279,2020-02-28,Western Australia,WA,1,0,0,0,0,0,0,0
280,2020-02-29,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
281,2020-02-29,New South Wales,NSW,0,0,0,0,0,0,0,0
282,2020-02-29,Northern Territory,NT,0,0,0,0,0,0,0,0
283,2020-02-29,Queensland,QLD,0,0,0,0,0,0,0,0
284,2020-02-29,South Australia,SA,0,0,0,0,0,0,0,0
285,2020-02-29,Tasmania,TAS,0,0,0,0,0,0,0,0
286,2020-02-29,Victoria,VIC,0,0,0,0,0,0,0,0
287,2020-02-29,Western Australia,WA,0,0,0,0,0,0,0,0
288,2020-03-01,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
289,2020-03-01,New South Wales,NSW,1,0,0,0,0,0,0,0
290,2020-03-01,Northern Territory,NT,0,0,0,0,0,0,0,0
291,2020-03-01,Queensland,QLD,0,0,0,0,0,0,0,0
292,2020-03-01,South Australia,SA,0,0,0,0,0,0,0,0
293,2020-03-01,Tasmania,TAS,0,0,0,0,0,0,0,0
294,2020-03-01,Victoria,VIC,2,0,0,0,0,0,0,0
295,2020-03-01,Western Australia,WA,0,1,0,0,0,0,0,0
296,2020-03-02,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
297,2020-03-02,New South Wales,NSW,4,0,0,4,0,0,0,0
298,2020-03-02,Northern Territory,NT,0,0,0,0,0,0,0,0
299,2020-03-02,Queensland,QLD,0,0,0,0,0,0,0,0
300,2020-03-02,South Australia,SA,0,0,0,0,0,0,0,0
301,2020-03-02,Tasmania,TAS,0,0,0,0,0,0,0,0
302,2020-03-02,Victoria,VIC,0,0,0,0,0,0,0,0
303,2020-03-02,Western Australia,WA,0,0,0,0,0,0,0,0
304,2020-03-03,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
305,2020-03-03,New South Wales,NSW,6,0,0,6,0,0,0,0
306,2020-03-03,Northern Territory,NT,0,0,0,0,0,0,0,0
307,2020-03-03,Queensland,QLD,1,0,0,1,0,0,0,0
308,2020-03-03,South Australia,SA,0,0,0,0,0,0,0,0
309,2020-03-03,Tasmania,TAS,1,0,0,1,0,0,0,0
310,2020-03-03,Victoria,VIC,0,0,0,0,0,0,0,0
311,2020-03-03,Western Australia,WA,0,0,0,0,0,0,0,0
312,2020-03-04,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0
313,2020-03-04,New South Wales,NSW,7,1,0,7,0,0,0,0
314,2020-03-04,Northern Territory,NT,0,0,0,0,0,0,0,0
315,2020-03-04,Queensland,QLD,1,0,0,1,0,0,0,0
316,2020-03-04,South Australia,SA,2,0,0,2,0,0,0,0
317,2020-03-04,Tasmania,TAS,0,0,0,0,0,0,0,0
318,2020-03-04,Victoria,VIC,1,0,0,1,0,0,0,0
319,2020-03-04,Western Australia,WA,0,0,0,0,0,0,0,0
